Pair,Date,Member_1,Member_2,Total
63,2020-05-06,231,22263,22494
63,2020-05-13,32,0,32
63,2020-05-14,81,31,112
65,2020-05-12,0,63,63
65,2020-05-13,0,45,45
65,2020-05-06,7,249,256
65,2020-05-04,21,21292,21313
65,2020-05-07,238,10,248
66,2020-05-12,0,281,281
66,2020-05-07,43,0,43
66,2020-05-06,182,293,475
66,2020-05-05,30,0,30
66,2020-05-02,101,0,101
66,2020-05-01,109,21915,22024
66,2020-04-29,38,0,38
69,2020-05-14,15,22172,22187
69,2020-05-13,37,127,164
69,2020-05-12,46,33,79
69,2020-05-07,22012,22,22034
69,2020-05-04,21571,21592,43163
69,2020-05-05,21605,61,21666
70,2020-05-05,62,51,113
70,2020-04-30,21920,52,21972
70,2020-05-01,54,23,77
70,2020-05-06,77,79,156
70,2020-05-07,158,124,282
70,2020-05-08,150,33,183
70,2020-05-12,68,42,110
70,2020-05-14,0,259,259
71,2020-05-11,0,2,2
71,2020-05-07,5,38,43
72,2020-05-06,59,59,118
72,2020-05-07,0,21535,21535
72,2020-05-13,21539,0,21539
72,2020-05-05,34,21549,21583
77,2020-04-30,34,20930,20964
77,2020-05-07,0,24,24
77,2020-05-10,40,0,40
77,2020-05-11,34,57,91
77,2020-05-13,114,146,260
77,2020-05-14,111,42129,42240
77,2020-05-12,0,73,73
87,2020-05-04,43845,22547,66392
87,2020-05-10,297,211,508
87,2020-05-12,76,0,76
87,2020-05-14,170,0,170
87,2020-05-17,197,0,197
87,2020-05-07,102,0,102
88,2020-05-08,73,21665,21738
88,2020-05-11,33,320,353
88,2020-05-17,108,290,398
89,2020-05-06,21843,0,21843
89,2020-05-07,435,116,551
89,2020-05-14,224,26,250
89,2020-05-18,316,0,316
89,2020-05-17,0,98,98
90,2020-05-07,0,44589,44589
90,2020-05-05,43,54,97
