Pair,Date,M1_Additions,M2_Additions,M1_deletions,M2_deletions,Member_1,Member_2,Total
14,2020-06-08,334.0,0.0,294.0,0.0,628.0,0.0,628.0
14,2020-06-04,82.0,0.0,26.0,0.0,108.0,0.0,108.0
14,2020-05-26,38.0,0.0,9.0,0.0,47.0,0.0,47.0
14,2020-05-25,168.0,15.0,3.0,14.0,171.0,29.0,200.0
14,2020-05-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2020-06-03,37.0,17.0,18.0,5.0,55.0,22.0,77.0
14,2020-05-22,51.0,0.0,0.0,0.0,51.0,0.0,51.0
15,2020-05-19,0.0,0.0,0.0,58.0,0.0,58.0,58.0
15,2020-06-09,40.0,54.0,6.0,36.0,46.0,90.0,136.0
15,2020-05-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2020-05-17,0.0,110.0,0.0,15.0,0.0,125.0,125.0
15,2020-06-10,0.0,18.0,0.0,18.0,0.0,36.0,36.0
15,2020-05-23,73.0,0.0,0.0,0.0,73.0,0.0,73.0
15,2020-06-08,25.0,72.0,2.0,36.0,27.0,108.0,135.0
15,2020-06-04,6.0,0.0,6.0,0.0,12.0,0.0,12.0
15,2020-06-03,37.0,50.0,56252.0,36.0,56289.0,86.0,56375.0
15,2020-06-02,1.0,1.0,1.0,1.0,2.0,2.0,4.0
15,2020-05-31,0.0,41.0,0.0,11.0,0.0,52.0,52.0
15,2020-05-25,0.0,22.0,0.0,13.0,0.0,35.0,35.0
15,2020-05-24,0.0,1980.0,0.0,128.0,0.0,2108.0,2108.0
15,2020-05-20,182.0,56599.0,2.0,31.0,184.0,56630.0,56814.0
16,2020-06-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2020-06-12,0.0,6.0,0.0,0.0,0.0,6.0,6.0
16,2020-06-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2020-06-10,0.0,10.0,0.0,11.0,0.0,21.0,21.0
16,2020-06-09,1.0,149.0,1.0,22.0,2.0,171.0,173.0
16,2020-06-06,0.0,113.0,0.0,77.0,0.0,190.0,190.0
16,2020-06-04,0.0,70.0,0.0,81.0,0.0,151.0,151.0
16,2020-06-03,0.0,50.0,0.0,3.0,0.0,53.0,53.0
16,2020-06-01,0.0,44.0,0.0,0.0,0.0,44.0,44.0
16,2020-05-31,0.0,25.0,0.0,19.0,0.0,44.0,44.0
16,2020-05-29,0.0,46.0,0.0,0.0,0.0,46.0,46.0
16,2020-05-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2020-05-19,55.0,0.0,0.0,0.0,55.0,0.0,55.0
17,2020-06-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,2020-06-09,21.0,0.0,6.0,0.0,27.0,0.0,27.0
17,2020-06-12,0.0,3.0,0.0,3.0,0.0,6.0,6.0
17,2020-06-04,33.0,54.0,17.0,0.0,50.0,54.0,104.0
17,2020-05-18,58.0,0.0,0.0,0.0,58.0,0.0,58.0
17,2020-05-19,10.0,0.0,2.0,0.0,12.0,0.0,12.0
17,2020-05-20,41.0,41.0,20.0,18.0,61.0,59.0,120.0
17,2020-05-21,30.0,0.0,30.0,0.0,60.0,0.0,60.0
17,2020-05-25,83.0,0.0,4.0,0.0,87.0,0.0,87.0
17,2020-05-26,23.0,0.0,6.0,0.0,29.0,0.0,29.0
17,2020-05-29,55.0,57.0,12.0,24.0,67.0,81.0,148.0
17,2020-06-08,4.0,0.0,2.0,0.0,6.0,0.0,6.0
17,2020-05-30,26.0,0.0,14.0,0.0,40.0,0.0,40.0
17,2020-06-02,64.0,0.0,32.0,0.0,96.0,0.0,96.0
18,2020-06-04,0.0,136.0,0.0,29.0,0.0,165.0,165.0
18,2020-06-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2020-05-20,0.0,29.0,0.0,15.0,0.0,44.0,44.0
18,2020-05-22,0.0,97.0,0.0,31.0,0.0,128.0,128.0
18,2020-05-30,0.0,154.0,0.0,8.0,0.0,162.0,162.0
18,2020-05-15,0.0,58.0,0.0,0.0,0.0,58.0,58.0
18,2020-06-02,0.0,13.0,0.0,19.0,0.0,32.0,32.0
18,2020-06-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
